0,1
0X05FF32,0X71
0X05FF33,0X61
0X05FF34,0X30
0X05FF35,0XE4
0X05FF36,0X0C
0X05FF37,0X2F
0X05FF38,0X30
0X05FF39,0X00
0X05FF3A,0X63
0X05FF3B,0XF6
0X05FF3C,0XE0
0X05FF3D,0X28
0X05FF3E,0XCE
0X05FF3F,0XD6
0X05FF40,0X62
0X05FF41,0X95
0X05FF42,0X8E
0X05FF43,0XBD
0X05FF44,0X93
0X05FF45,0X65
0X05FF46,0X25
0X05FF47,0XB9
0X05FF48,0XFB
0X05FF49,0XF9
0X05FF4A,0XB5
0X05FF4B,0XE0
0X05FF4C,0X28
0X05FF4D,0X4D
0X05FF4E,0XD2
0X05FF4F,0X5D
0X05FF50,0XF5
0X05FF51,0X33
0X05FF52,0X2A
0X05FF53,0X46
0X05FF54,0X0C
0X05FF55,0XD7
0X05FF56,0X2A
0X05FF57,0X19
0X05FF58,0XCE
0X05FF59,0X26
0X05FF5A,0XFE
0X05FF5B,0X28
0X05FF5C,0XB9
0X05FF5D,0XE9
0X05FF5E,0X6D
0X05FF5F,0XEA
0X05FF60,0XD3
0X05FF61,0XF2
0X05FF62,0XB6
0X05FF63,0X33
0X05FF64,0X6C
0X05FF65,0XC0
0X05FF66,0XF1
0X05FF67,0X5E
0X05FF68,0X7A
0X05FF69,0XBF
0X05FF6A,0X28
0X05FF6B,0X77
0X05FF6C,0XE6
0X05FF6D,0XAA
0X05FF6E,0X3A
0X05FF6F,0XF1
0X05FF70,0X49
0X05FF71,0X45
0X05FF72,0X29
0X05FF73,0XFF
0X05FF74,0X68
0X05FF75,0XB8
0X05FF76,0X4B
0X05FF77,0X28
0X05FF78,0XC5
0X05FF79,0XB9
0X05FF7A,0X73
0X05FF7B,0X7C
0X05FF7C,0X2B
0X05FF7D,0X25
0X05FF7E,0X9E
0X05FF7F,0X8D
0X05FF80,0X22
0X05FF81,0X28
0X05FF82,0X95
0X05FF83,0X82
0X05FF84,0XF9
0X05FF85,0XFF
0X05FF86,0XCC
0X05FF87,0X9B
0X05FF88,0X28
0X05FF89,0X28
0X05FF8A,0X28
0X05FF8B,0X62
0X05FF8C,0X3A
0X05FF8D,0X01
0X05FF8E,0X71
0X05FF8F,0X00
0X05FF90,0X77
0X05FF91,0XCD
0X05FF92,0XA2
0X05FF93,0X33
0X05FF94,0XC7
0X05FF95,0X28
0X05FF96,0XFB
0X05FF97,0X1F
0X05FF98,0X0C
0X05FF99,0XB7
0X05FF9A,0XBF
0X05FF9B,0XE3
0X05FF9C,0X5B
0X05FF9D,0X41
0X05FF9E,0X49
0X05FF9F,0XC7
0X05FFA0,0X37
0X05FFA1,0X0C
0X05FFA2,0X53
0X05FFA3,0X26
0X05FFA4,0XBA
0X05FFA5,0X4E
0X05FFA6,0X1F
0X05FFA7,0X0F
0X05FFA8,0XC7
0X05FFA9,0X2A
0X05FFAA,0XDD
0X05FFAB,0XA7
0X05FFAC,0X85
0X05FFAD,0XDF
0X05FFAE,0X01
0X05FFAF,0XAB
0X05FFB0,0X0F
0X05FFB1,0X84
0X05FFB2,0XA4
0X05FFB3,0XC0
